Structure #,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,Length4,Length5,Length6,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc
b-0.0300-c0.0100,1.714400,-15780.846885,-15780.846885,12.839158,7.375269,3.323592,3.221408,3.215523,3.323580,3.221406,3.215525,8.887400,13.081474,8.648844,1005.517078,2.552500,1.998132,1.201046,1.169819,1.167990,2.184635,2.571197,2.157426
b-0.0300-c0.0150,1.713700,-15780.851658,-15780.851658,12.860347,7.298301,3.322113,3.216641,3.222254,3.322100,3.216639,3.222256,8.932500,13.081474,8.605163,1005.515536,2.554149,1.987642,1.200601,1.168338,1.170081,2.189696,2.571197,2.152362
b-0.0300-c0.0200,1.717100,-15780.856215,-15780.856215,12.987808,7.163829,3.319849,3.221888,3.222100,3.319836,3.221886,3.222102,8.978100,13.081474,8.561482,1005.518450,2.564011,1.969045,1.199919,1.169967,1.170033,2.194788,2.571197,2.147273
b-0.0300-c0.0250,1.723200,-15780.858182,-15780.858183,13.130897,7.010902,3.317439,3.228077,3.222534,3.317426,3.228075,3.222536,9.024200,13.081474,8.517801,1005.524964,2.574968,1.947466,1.199193,1.171887,1.170168,2.199910,2.571197,2.142158
b-0.0300-c0.0300,1.725700,-15780.858104,-15780.858104,13.170992,6.932152,3.316161,3.231967,3.221970,3.316148,3.231965,3.221972,9.070700,13.081474,8.474120,1005.523135,2.578017,1.936170,1.198808,1.173091,1.169993,2.205049,2.571197,2.137017
b-0.0250-c-0.0300,1.711900,-15780.794070,-15780.794070,12.690357,7.268309,3.310030,3.215684,3.221665,3.310017,3.215682,3.221667,8.584000,13.017971,8.998292,1005.525535,2.540842,1.983524,1.196957,1.168040,1.169898,2.149900,2.566331,2.197035
b-0.0250-c-0.0250,1.735200,-15780.803515,-15780.803515,12.614276,7.681197,3.315471,3.210611,3.230012,3.315458,3.210609,3.230014,8.625900,13.017971,8.954611,1005.528663,2.534829,2.038775,1.198600,1.166461,1.172486,2.154769,2.566331,2.192169
b-0.0250-c-0.0200,1.738200,-15780.817743,-15780.817743,12.640735,7.709487,3.315278,3.214042,3.227816,3.315266,3.214040,3.227818,8.668200,13.017971,8.910930,1005.530539,2.536925,2.042452,1.198542,1.167529,1.171806,2.159661,2.566331,2.187279
b-0.0250-c-0.0150,1.741000,-15780.830819,-15780.830819,12.667116,7.721048,3.314856,3.219464,3.223769,3.314843,3.219462,3.223771,8.710900,13.017971,8.867249,1005.530483,2.539009,2.043950,1.198414,1.169215,1.170551,2.164575,2.566331,2.182365
b-0.0250-c-0.0100_new,1.739300,-15780.843228,-15780.843228,12.684841,7.681439,3.313677,3.221249,3.222547,3.313665,3.221247,3.222549,8.754000,13.017971,8.823568,1005.527810,2.540408,2.038807,1.198059,1.169769,1.170172,2.169511,2.566331,2.177426
